name_canon,n_variants,variants,births
ANALIA,2,ANALIA | ANALÍA,28
MAITE,2,MAITE | MAITÉ,28
NIKOLAS,2,NIKOLAS | NIKOLÁS,28
RAMON,3,RAMON | RAMÓN | RAMÕN,28
TOMAS,2,TOMAS | TOMÁS,28
ANGELICA,2,ANGELICA | ANGÉLICA,27
ELIA,3,ELIA | ELIÁ | ELÍA,27
ELIO,2,ELIO | ELÍO,27
ELISEO,2,ELISEO | ELISÉO,27
KENIA,2,KENIA | KENÍA,26
LIAN,3,LIAN | LIÁN | LÍAN,26
OCEAN,2,OCEAN | OCÉAN,26
RAEGAN,2,RAEGAN | RAÉGAN,26
VALENTIN,2,VALENTIN | VALENTÍN,26
ELODIE,2,ELODIE | ÉLODIE,24
RENE,2,RENE | RENÉ,24
SARAHI,2,SARAHI | SARAHÍ,24
ALIA,2,ALIA | ALÍA,23
ALVARO,2,ALVARO | ÁLVARO,23
CLEO,2,CLEO | CLÉO,23
JOLIE,2,JOLIE | JOLIÉ,23
AGUSTIN,2,AGUSTIN | AGUSTÍN,22
KAREN,2,KAREN | KARÉN,22
RUBI,2,RUBI | RUBÍ,22
BELEN,2,BELEN | BELÉN,21
DARA,2,DARA | DARÁ,21
EMILIE,2,EMILIE | ÉMILIE,20
BARBARA,2,BARBARA | BÁRBARA,19
KATIA,2,KATIA | KATIÁ,19
MALIA,2,MALIA | MALÍA,19
ANAIS,3,ANAIS | ANAÍS | ANAÏS,18
IZAN,2,IZAN | IZÁN,18
LEONARD,2,LEONARD | LÉONARD,18
ROSALIA,2,ROSALIA | ROSALÍA,18
TEO,2,TEO | TÉO,17
XOCHITL,2,XOCHITL | XÓCHITL,17
DALIA,2,DALIA | DÁLIA,16
INES,2,INES | INÉS,16
LEYLANI,2,LEYLANI | LEYLANÍ,16
ZAIRA,2,ZAIRA | ZAÏRA,16
JOSIAS,2,JOSIAS | JOSÍAS,15
CEDRIC,2,CEDRIC | CEDRIC JR,14
MATHEO,2,MATHEO | MATHÉO,14
ZELIE,2,ZELIE | ZÉLIE,14
ARELI,2,ARELI | ÁRELI,13
DAMARIS,2,DAMARIS | DÁMARIS,13
ELIEL,2,ELIEL | ELÍEL,13
GIAN,2,GIAN | GÍAN,13
ILAN,2,ILAN | ILÁN,13
LIAH,2,LIAH | LÍAH,13
RENEE,3,RENEE | RENEÉ | RENÉE,13
RIAN,2,RIAN | RÍAN,13
BASTIAN,2,BASTIAN | BÁSTIAN,12
BJORN,2,BJORN | BJÖRN,12
CRISTOBAL,2,CRISTOBAL | CRISTÓBAL,12
ESTEFANIA,2,ESTEFANIA | ESTEFANÍA,12
JAEL,2,JAEL | JAÉL,12
JHENE,3,JHENE | JHENÉ | JHENÈ,12
LEA,2,LEA | LÉA,12
MADISSON,2,MADISSON | MADISSÓN,12
MELANI,2,MELANI | MELÁNI,12
MILANA,2,MILANA | MÍLANA,12
ADARA,2,ADARA | ADARÁ,11
HERNAN,2,HERNAN | HERNÁN,11
ISAI,2,ISAI | ISAÍ,11
JAIR,2,JAIR | JAÍR,11
JRUE,2,JRUE | JRUË,11
LEOPOLD,2,LEOPOLD | LÉOPOLD,11
AIZEN,2,AIZEN | AIZÉN,10
ALEIA,2,ALEIA | ALEÏA,10
JALIYAH,2,JALIYAH | JÁLIYAH,10
KARIME,2,KARIME | KARIMÉ,10
YESHUA,2,YESHUA | YESHÚA,10
STORMI,2,STORMI | STORMÏ,9
ANAYELI,2,ANAYELI | AÑAYELI,8
DANAE,2,DANAE | DÁNAE,8
KYREE,2,KYREE | KYREÈ,8
MAEL,2,MAEL | MAËL,8
NAEL,2,NAEL | NAÉL,8
SALOMON,2,SALOMON | SALOMÓN,8
SOLANA,2,SOLANA | SOLÁNA,8
ANALISE,2,ANALISE | ANALÍSE,7
ELIYAH,2,ELIYAH | ELIÝAH,7
FENIX,2,FENIX | FÉNIX,7
JANAE,2,JANAE | JANAÉ,7
MARIAJOSE,2,MARIAJOSE | MARÍAJOSÉ,7
NAHUM,2,NAHUM | NAHÚM,7
SAID,2,SAID | SAÍD,7
SIOBHAN,2,SIOBHAN | SIOBHÁN,7
ZOIE,2,ZOIE | ZOÏE,7
ADONAI,2,ADONAI | ADONAÏ,6
AILEN,2,AILEN | AILÉN,6
ALARIC,2,ALARIC | ALARÍC,6
ALIZE,2,ALIZE | ALIZÉ,6
GERMAN,2,GERMAN | GERMÁN,6
GIBRAN,2,GIBRAN | GIBRÁN,6
MEILANI,3,MEILANI | MEÍLANI | MÉILANI,6
DINERO,2,DINERO | DINÉRO,5
DON,2,DON | DÕN,5
JERONIMO,3,JERONIMO | JERÓNIMO | JERONIMO JR,5
JONATAN,2,JONATAN | JONATÁN,5
LANIYAH,2,LANIYAH | LÁNIYAH,5
MARIA JOSE,2,MARIA JOSE | MARIA JOSÉ,5
SALOME,2,SALOME | SALOMÉ,5
SEKANI,2,SEKANI | SÉKANI,5
THORIN,2,THORIN | THÖRIN,5
TRE,2,TRE | TRÉ,5
ZYA,2,ZYA | ZYÁ,5
ABDIAS,2,ABDIAS | ABDÍAS,4
AELA,2,AELA | AËLA,4
DAILA,2,DAILA | DAÍLA,4
DEMIAN,2,DEMIAN | DEMIÁN,4
EOWYN,2,EOWYN | ÉOWYN,4
FAUSTINO,2,FAUSTINO | FAUSTINO JR,4
HELENE,2,HELENE | HÉLÈNE,4
JESHUA,2,JESHUA | JESHÚA,4
KALLI,2,KALLI | KÁLLI,4
LEONIE,2,LEONIE | LÉONIE,4
NAILA,2,NAILA | NAÏLA,4
NOEMIE,2,NOEMIE | NOÉMIE,4
PIA,2,PIA | PÍA,4
SOLENE,3,SOLENE | SOLÉNE | SOLÈNE,4
CLIO,2,CLIO | CLÍO,3
DEBORA,2,DEBORA | DÉBORA,3
ELAIA,2,ELAIA | ELAÏA,3
EOIN,2,EOIN | EÓIN,3
FARES,2,FARES | FÁRES,3
FRANCOIS,2,FRANCOIS | FRANÇOIS,3
HERMES,2,HERMES | HERMÉS,3
IRENA,2,IRENA | IRÈNA,3
JAHEL,2,JAHEL | JÁHEL,3
JALEAH,2,JALEAH | JALEÁH,3
KARTIER,2,KARTIER | KARTÍER,3
MAELLE,2,MAELLE | MAËLLE,3
MIEL,2,MIEL | MÍEL,3
NAOMIE,2,NAOMIE | NAOMÏE,3
NELIDA,2,NELIDA | NÉLIDA,3
NINO,2,NINO | NIÑO,3
AMORE,2,AMORE | AMORË,2
ANNAIS,2,ANNAIS | ANNAÍS,2
ARIANI,2,ARIANI | ARIANÍ,2
BELA,2,BELA | BELÁ,2
ENAI,2,ENAI | ENAÏ,2
EVA MARIA,2,EVA MARIA | EVA MARÍA,2
EZME,2,EZME | EZMÉ,2
HAVI,2,HAVI | HÁVI,2
HONORE,2,HONORE | HONORÉ,2
INAKI,2,INAKI | IÑAKI,2
IRE,2,IRE | IRÉ,2
ITATI,2,ITATI | ITATÍ,2
JAGER,2,JAGER | JÄGER,2
JERUSALEN,2,JERUSALEN | JERUSALÉN,2
KAIRE,2,KAIRE | KAÍRE,2
KATTALEYA,2,KATTALEYA | KATTALÉYA,2
KELAIAH,2,KELAIAH | KELAIÄH,2
LUAN,2,LUAN | LUÁN,2
MAYTHE,2,MAYTHE | MAYTHÉ,2
MIGUEL ANGEL,2,MIGUEL  ANGEL | MIGUEL ANGEL,2
ONESIMO,2,ONESIMO | ONÉSIMO,2
ORLA,2,ORLA | ÓRLA,2
ROISIN,2,ROISIN | RÓISÍN,2
ROZAE,2,ROZAE | ROZAÉ,2
SADE,2,SADE | SADÉ,2
SEBASTIEN,2,SEBASTIEN | SÉBASTIEN,2
SOLAI,2,SOLAI | SOLAÍ,2
SOLIS,2,SOLIS | SOLÍS,2
THERESE,2,THERESE | THÉRÈSE,2
