year,sex,name,au_rank,tx_rank,rank_delta,au_n
2024,MALE,Christian,57,49,-8,33
2017,MALE,Jacob,16,7,-9,60
2017,MALE,David,19,10,-9,58
2017,MALE,Michael,24,15,-9,54
2018,MALE,Elijah,14,5,-9,59
2018,MALE,Juan,53,44,-9,36
2019,MALE,Julian,17,8,-9,58
2019,MALE,Angel,33,24,-9,43
2019,MALE,Leonardo,42,33,-9,40
2019,MALE,Gabriel,44,35,-9,39
2020,MALE,Michael,31,22,-9,43
2020,MALE,Ian,62,53,-9,30
2021,MALE,Jose,18,9,-9,56
2021,MALE,Isaiah,51,42,-9,36
2022,FEMALE,Avery,29,20,-9,36
2022,MALE,Jayden,38,29,-9,42
2024,MALE,Levi,24,15,-9,54
2018,FEMALE,Sophia,15,5,-10,46
2019,FEMALE,Avery,26,16,-10,33
2019,MALE,David,27,17,-10,47
2019,MALE,Christian,50,40,-10,37
2019,MALE,Aaron,51,41,-10,36
2021,MALE,Santiago,16,6,-10,58
2021,MALE,Ezra,35,25,-10,44
2022,FEMALE,Victoria,26,16,-10,38
2023,MALE,Samuel,29,19,-10,47
2023,MALE,Anthony,41,31,-10,39
2017,MALE,Jesus,64,53,-11,31
2018,FEMALE,Ximena,33,22,-11,31
2018,MALE,Jose,25,14,-11,51
2019,MALE,Elijah,15,4,-11,63
2019,MALE,Jacob,21,10,-11,53
2020,MALE,Jayden,36,25,-11,41
2021,FEMALE,Gianna,24,13,-11,36
2021,FEMALE,Elena,34,23,-11,30
2021,MALE,Jackson,61,50,-11,33
2023,MALE,Jose,26,15,-11,50
2023,MALE,Isaac,53,42,-11,34
2024,FEMALE,Gianna,24,13,-11,39
2024,MALE,Elijah,17,6,-11,61
2024,MALE,Gael,42,31,-11,41
2017,MALE,Christian,49,37,-12,40
2018,MALE,Angel,37,25,-12,41
2020,MALE,Santiago,20,8,-12,50
2020,MALE,Leonardo,56,44,-12,32
2021,MALE,Leonardo,51,39,-12,36
2022,MALE,Elijah,18,6,-12,56
2022,MALE,Daniel,20,8,-12,55
2022,MALE,Levi,22,10,-12,53
2022,MALE,Luke,33,21,-12,45
2022,MALE,Christian,65,53,-12,31
2024,MALE,Joseph,57,45,-12,33
2017,MALE,Santiago,37,24,-13,46
2017,MALE,Christopher,42,29,-13,43
2018,FEMALE,Victoria,22,9,-13,38
2018,MALE,Nathan,50,37,-13,37
2021,FEMALE,Victoria,31,18,-13,32
2021,MALE,Jacob,33,20,-13,45
2021,MALE,Matthew,40,27,-13,41
2021,MALE,Isaac,48,35,-13,37
2023,FEMALE,Scarlett,33,20,-13,32
2023,FEMALE,Aria,35,22,-13,31
2024,FEMALE,Aurora,33,20,-13,36
2024,FEMALE,Abigail,43,30,-13,33
2024,MALE,Leonardo,48,35,-13,38
2017,MALE,Logan,37,23,-14,46
2017,MALE,Adrian,49,35,-14,40
2017,MALE,Ian,61,47,-14,34
2018,FEMALE,Scarlett,32,18,-14,32
2018,MALE,Mason,40,26,-14,40
2020,FEMALE,Penelope,36,22,-14,30
2020,MALE,Elijah,18,4,-14,51
2020,MALE,Isaiah,57,43,-14,31
2022,MALE,Elias,36,22,-14,43
2022,MALE,Adrian,51,37,-14,34
2022,MALE,Caleb,60,46,-14,32
2023,FEMALE,Valentina,35,21,-14,31
2023,MALE,Hudson,68,54,-14,30
2024,FEMALE,Victoria,35,21,-14,35
2017,FEMALE,Victoria,25,10,-15,38
2017,MALE,Dylan,35,20,-15,48
2017,MALE,Jaxon,58,43,-15,35
2018,MALE,Mateo,19,4,-15,55
2018,MALE,Ethan,23,8,-15,52
2018,MALE,Aiden,33,18,-15,43
2018,MALE,Adrian,53,38,-15,36
2020,MALE,Mason,49,34,-15,34
2021,MALE,Nathan,66,51,-15,30
2023,MALE,Aiden,53,38,-15,34
2024,FEMALE,Ava,29,14,-15,37
2024,MALE,Jayden,68,53,-15,31
2017,MALE,Lucas,48,32,-16,41
2018,MALE,Jacob,23,7,-16,52
2019,FEMALE,Victoria,26,10,-16,33
2020,MALE,Angel,42,26,-16,37
2022,MALE,Gabriel,47,31,-16,36
2023,MALE,Jacob,50,34,-16,35
2024,MALE,Angel,33,17,-16,47
2017,MALE,Jose,28,11,-17,52
2018,MALE,David,28,11,-17,45
2021,MALE,Anthony,55,38,-17,34
2022,MALE,Julian,31,14,-17,46
2023,MALE,Gael,45,28,-17,37
2024,FEMALE,Ellie,40,23,-17,34
2024,MALE,Samuel,37,20,-17,46
2024,MALE,Aiden,57,40,-17,33
2024,MALE,Nathan,75,58,-17,30
2019,MALE,Santiago,25,7,-18,49
2021,MALE,Angel,37,19,-18,42
2022,FEMALE,Aria,37,19,-18,31
2022,MALE,Jacob,44,26,-18,38
2022,MALE,Juan,58,40,-18,33
2017,MALE,Matthew,25,6,-19,53
2022,MALE,Ezekiel,44,25,-19,38
2023,FEMALE,Elizabeth,33,14,-19,32
2023,MALE,Luke,43,24,-19,38
2024,FEMALE,Eliana,29,10,-19,37
2024,MALE,Ezra,28,9,-19,51
2022,MALE,Jose,29,9,-20,47
2023,MALE,Levi,30,10,-20,46
2023,MALE,Jayden,59,39,-20,32
2018,MALE,Matthew,30,9,-21,44
2019,MALE,Joshua,64,43,-21,31
2022,FEMALE,Gianna,34,13,-21,34
2023,MALE,Elias,33,12,-21,43
2024,MALE,Christopher,68,47,-21,31
2018,MALE,Santiago,37,15,-22,41
2018,MALE,Gabriel,62,40,-22,32
2020,MALE,Aiden,46,24,-22,35
2021,MALE,Ethan,35,13,-22,44
2021,MALE,Gael,55,33,-22,34
2019,MALE,Adrian,52,29,-23,35
2020,FEMALE,Gianna,34,11,-23,31
2022,MALE,Christopher,67,44,-23,30
2024,MALE,Matthew,46,23,-23,40
2018,MALE,Josiah,55,31,-24,35
2020,MALE,Julian,36,12,-24,41
2022,MALE,Gael,58,34,-24,33
2023,MALE,Ezekiel,50,26,-24,35
2024,MALE,Ezekiel,51,27,-24,37
2021,MALE,Levi,37,12,-25,42
2022,MALE,Angel,38,13,-25,42
2023,MALE,Ezra,33,8,-25,43
2023,MALE,Adriel,68,43,-25,30
2024,MALE,Elias,33,8,-25,47
2017,MALE,Jayden,40,14,-26,45
2018,MALE,Michael,43,17,-26,39
2019,MALE,Jayden,47,21,-26,38
2020,MALE,Isaac,54,28,-26,33
2019,MALE,Aiden,55,28,-27,34
2019,MALE,Christopher,59,32,-27,32
2020,MALE,Jose,38,11,-27,39
2024,MALE,Josiah,64,37,-27,32
2017,MALE,Mason,56,28,-28,36
2018,MALE,Isaac,57,29,-28,34
2019,MALE,Matthew,41,13,-28,41
2019,MALE,Jose,44,15,-29,39
2020,MALE,Josiah,62,33,-29,30
2023,MALE,Josiah,59,30,-29,32
2024,MALE,Daniel,39,10,-29,45
2020,MALE,Matthew,49,19,-30,34
2022,MALE,Josiah,60,30,-30,32
2023,MALE,Gabriel,59,29,-30,32
2024,MALE,Adrian,68,38,-30,31
2021,MALE,Ezekiel,61,30,-31,33
2023,MALE,Angel,48,16,-32,36
2020,MALE,Alexander,46,10,-36,35
