year,sex,name_canon,n,name_display
2017,FEMALE,AINHOA,2,Ainhoa
2017,FEMALE,AINSLEE,1,Ainslee
2017,FEMALE,AINSLEY,4,Ainsley
2017,FEMALE,AISHA,4,Aisha
2017,FEMALE,AISHWARYA,1,Aishwarya
2017,FEMALE,AISLING,2,Aisling
2017,FEMALE,AISLINN,4,Aislinn
2017,FEMALE,AISLYN,1,Aislyn
2017,FEMALE,AISLYNN,1,Aislynn
2017,FEMALE,AITANA,4,Aitana
2017,FEMALE,AIVAH,1,Aivah
2017,FEMALE,AIYANA,1,Aiyana
2017,FEMALE,AIYANNA,1,Aiyanna
2017,FEMALE,AIYLA,1,Aiyla
2017,FEMALE,AIZA,1,Aiza
2017,FEMALE,AKASHA,1,Akasha
2017,FEMALE,AKAYDIA,1,Akaydia
2017,FEMALE,AKEMI,1,Akemi
2017,FEMALE,AKEWON,1,Akewon
2017,FEMALE,AKINA,1,Akina
2017,FEMALE,AKIRA,1,Akira
2017,FEMALE,AKSHARA,1,Akshara
2017,FEMALE,ALA,1,Ala
2017,FEMALE,ALAIA,3,Alaia
2017,FEMALE,ALAINA,7,Alaina
2017,FEMALE,ALANA,3,Alana
2017,FEMALE,ALANAH,1,Alanah
2017,FEMALE,ALANI,2,Alani
2017,FEMALE,ALANNAH,3,Alannah
2017,FEMALE,ALANNI,1,Alanni
2017,FEMALE,ALANTIS,1,Alantis
2017,FEMALE,ALARIAH,1,Alariah
2017,FEMALE,ALAYA,2,Alaya
2017,FEMALE,ALAYNA,2,Alayna
2017,FEMALE,ALAZAY,1,Alazay
2017,FEMALE,ALDEN,2,Alden
2017,FEMALE,ALDUVINA,1,Alduvina
2017,FEMALE,ALEAH,2,Aleah
2017,FEMALE,ALEAHNA,1,Aleahna
2017,FEMALE,ALEEN,2,Aleen
2017,FEMALE,ALEENA,5,Aleena
2017,FEMALE,ALEIA,1,Aleia
2017,FEMALE,ALEIDA,3,Aleida
2017,FEMALE,ALEINA,1,Aleina
2017,FEMALE,ALEISHA,1,Aleisha
2017,FEMALE,ALEISSA,1,Aleissa
2017,FEMALE,ALEJANDRA,8,Alejandra
2017,FEMALE,ALEKSANDRA,1,Aleksandra
2017,FEMALE,ALENA,4,Alena
2017,FEMALE,ALESSANDRA,6,Alessandra
2017,FEMALE,ALESSIA,2,Alessia
2017,FEMALE,ALEX,2,Alex
2017,FEMALE,ALEXA,25,Alexa
2017,FEMALE,ALEXANDRA,18,Alexandra
2017,FEMALE,ALEXANDRIA,6,Alexandria
2017,FEMALE,ALEXIA,3,Alexia
2017,FEMALE,ALEXIE,1,Alexie
2017,FEMALE,ALEXIS,7,Alexis
2017,FEMALE,ALEXSANDRA,1,Alexsandra
2017,FEMALE,ALI,1,Ali
2017,FEMALE,ALIA,2,Alia
2017,FEMALE,ALIAH,4,Aliah
2017,FEMALE,ALIANA,1,Aliana
2017,FEMALE,ALIANNA,2,Alianna
2017,FEMALE,ALICE,21,Alice
2017,FEMALE,ALICIA,3,Alicia
2017,FEMALE,ALICIA-MARIE,1,Alicia-Marie
2017,FEMALE,ALICIANA,1,Aliciana
2017,FEMALE,ALIERA,1,Aliera
2017,FEMALE,ALIKA,1,Alika
2017,FEMALE,ALILLYONNA,1,Alillyonna
2017,FEMALE,ALINA,12,Alina
2017,FEMALE,ALINALUZ,1,Alinaluz
2017,FEMALE,ALINE,1,Aline
2017,FEMALE,ALIS,1,Alis
2017,FEMALE,ALISHA,1,Alisha
2017,FEMALE,ALISIYA,1,Alisiya
2017,FEMALE,ALISON,4,Alison
2017,FEMALE,ALISSA,3,Alissa
2017,FEMALE,ALISSANDRA,1,Alissandra
2017,FEMALE,ALISSON,2,Alisson
2017,FEMALE,ALIVIA,2,Alivia
2017,FEMALE,ALIYAH,4,Aliyah
2017,FEMALE,ALIYANA,2,Aliyana
2017,FEMALE,ALIYANAH,1,Aliyanah
2017,FEMALE,ALIYANNA,3,Aliyanna
2017,FEMALE,ALIZA,3,Aliza
2017,FEMALE,ALIZAH,1,Alizah
2017,FEMALE,ALIZE,2,Alize
2017,FEMALE,ALIZEAH,1,Alizeah
2017,FEMALE,ALIZET,1,Alizet
2017,FEMALE,ALLANI,1,Allani
2017,FEMALE,ALLARYCE,1,Allaryce
2017,FEMALE,ALLEIGH,1,Alleigh
2017,FEMALE,ALLEY,1,Alley
2017,FEMALE,ALLIE,3,Allie
2017,FEMALE,ALLISON,37,Allison
2017,FEMALE,ALLISSON,1,Allisson
2017,FEMALE,ALLORA,1,Allora
2017,FEMALE,ALLURA,1,Allura
2017,FEMALE,ALLY,1,Ally
2017,FEMALE,ALLYSON,7,Allyson
2017,FEMALE,ALMA,5,Alma
2017,FEMALE,ALMA MIMI,1,Alma Mimi
2017,FEMALE,ALMA PEARL,1,Alma Pearl
2017,FEMALE,ALONDRA,13,Alondra
2017,FEMALE,ALORA,1,Alora
2017,FEMALE,ALOUISE,1,Alouise
2017,FEMALE,ALTAIR,1,Altair
2017,FEMALE,ALURA,1,Alura
2017,FEMALE,ALY,1,Aly
2017,FEMALE,ALYANA,1,Alyana
2017,FEMALE,ALYANNA,1,Alyanna
2017,FEMALE,ALYCIA,1,Alycia
2017,FEMALE,ALYSON,1,Alyson
2017,FEMALE,ALYSSA,14,Alyssa
2017,FEMALE,ALYSSIA,1,Alyssia
2017,FEMALE,ALYSSON,1,Alysson
2017,FEMALE,ALYVIA,1,Alyvia
2017,FEMALE,AMADA,1,Amada
2017,FEMALE,AMAIA,1,Amaia
2017,FEMALE,AMAIYAH-ROSE,1,Amaiyah-Rose
2017,FEMALE,AMAL,1,Amal
2017,FEMALE,AMALIA,3,Amalia
2017,FEMALE,AMALYA,1,Amalya
2017,FEMALE,AMANDA,6,Amanda
2017,FEMALE,AMANI,3,Amani
2017,FEMALE,AMARA,6,Amara
2017,FEMALE,AMARI,4,Amari
2017,FEMALE,AMARIS,1,Amaris
2017,FEMALE,AMARISA,1,Amarisa
2017,FEMALE,AMARYAH,1,Amaryah
2017,FEMALE,AMARYLLIS,1,Amaryllis
2017,FEMALE,AMAYA,4,Amaya
2017,FEMALE,AMAYAH,2,Amayah
2017,FEMALE,AMAZIAH,1,Amaziah
2017,FEMALE,AMBAR,1,Ambar
2017,FEMALE,AMBER,1,Amber
2017,FEMALE,AMBRIE,1,Ambrie
2017,FEMALE,AMEERA,1,Ameera
2017,FEMALE,AMEERAH,2,Ameerah
2017,FEMALE,AMELIA,52,Amelia
2017,FEMALE,AMELIE,1,Amelie
2017,FEMALE,AMERICA,2,America
2017,FEMALE,AMETHYST,2,Amethyst
2017,FEMALE,AMIA,3,Amia
2017,FEMALE,AMINA,6,Amina
2017,FEMALE,AMIRA,2,Amira
2017,FEMALE,AMIYAH,2,Amiyah
2017,FEMALE,AMIYAH-MAE,1,Amiyah-Mae
2017,FEMALE,AMNA,1,Amna
2017,FEMALE,AMOHA,1,Amoha
2017,FEMALE,AMPARO,1,Amparo
2017,FEMALE,AMRAN,1,Amran
2017,FEMALE,AMREET,1,Amreet
2017,FEMALE,AMY,8,Amy
2017,FEMALE,AMYRA,2,Amyra
2017,FEMALE,ANA,9,Ana
2017,FEMALE,ANABELLA,3,Anabella
2017,FEMALE,ANABIYA,1,Anabiya
2017,FEMALE,ANAEL,1,Anael
2017,FEMALE,ANAGHA,1,Anagha
2017,FEMALE,ANAHI,5,Anahi
2017,FEMALE,ANAIRA,2,Anaira
2017,FEMALE,ANAIS,2,Anais
2017,FEMALE,ANAISE,1,Anaise
2017,FEMALE,ANAISHA,2,Anaisha
2017,FEMALE,ANALAYA,1,Analaya
2017,FEMALE,ANALEA,1,Analea
2017,FEMALE,ANALEAH,1,Analeah
2017,FEMALE,ANALEE,2,Analee
2017,FEMALE,ANALEIGH,1,Analeigh
2017,FEMALE,ANALIA,3,Analia
2017,FEMALE,ANALISA,2,Analisa
2017,FEMALE,ANALUCIA,2,Analucia
2017,FEMALE,ANALY,1,Analy
2017,FEMALE,ANALYN,1,Analyn
2017,FEMALE,ANALYSSA,1,Analyssa
2017,FEMALE,ANANYA,3,Ananya
2017,FEMALE,ANARISSA,1,Anarissa
2017,FEMALE,ANARRI,1,Anarri
2017,FEMALE,ANASTASIA,7,Anastasia
2017,FEMALE,ANASTASIE,1,Anastasie
2017,FEMALE,ANASTASSIA,1,Anastassia
2017,FEMALE,ANAY,1,Anay
2017,FEMALE,ANAYA,2,Anaya
2017,FEMALE,ANAYAH,1,Anayah
2017,FEMALE,ANAYANCI,1,Anayanci
2017,FEMALE,ANAYELI,1,Anayeli
2017,FEMALE,ANAYENSI,1,Anayensi
2017,FEMALE,ANAYII,1,Anayii
2017,FEMALE,ANDALUCIA,1,Andalucia
2017,FEMALE,ANDERSON,1,Anderson
2017,FEMALE,ANDERSYN,1,Andersyn
2017,FEMALE,ANDI,2,Andi
2017,FEMALE,ANDIS,1,Andis
2017,FEMALE,ANDREA,21,Andrea
2017,FEMALE,ANEIRA,1,Aneira
2017,FEMALE,ANGEL,2,Angel
2017,FEMALE,ANGELA,6,Angela
2017,FEMALE,ANGELIA,1,Angelia
2017,FEMALE,ANGELINA,5,Angelina
2017,FEMALE,ANGELINE,2,Angeline
2017,FEMALE,ANGELIQUE,5,Angelique
2017,FEMALE,ANGELY,1,Angely
2017,FEMALE,ANGELYZ,1,Angelyz
2017,FEMALE,ANGIE,2,Angie
2017,FEMALE,ANGIELINE,1,Angieline
2017,FEMALE,ANIAH,2,Aniah
2017,FEMALE,ANIKA,7,Anika
2017,FEMALE,ANISA,1,Anisa
2017,FEMALE,ANISSIA,1,Anissia
2017,FEMALE,ANIYA,1,Aniya
2017,FEMALE,ANIYAH,8,Aniyah
2017,FEMALE,ANIYLAA,1,Aniylaa
2017,FEMALE,ANJEL,1,Anjel
2017,FEMALE,ANN,3,Ann
2017,FEMALE,ANN LUCIA,1,Ann Lucia
2017,FEMALE,ANNA,10,Anna
2017,FEMALE,ANNA ANH,1,Anna Anh
2017,FEMALE,ANNA KATE,1,Anna Kate
2017,FEMALE,ANNA'MARIE,1,Anna'Marie
2017,FEMALE,ANNABEL,2,Annabel
2017,FEMALE,ANNABELL,1,Annabell
2017,FEMALE,ANNABELLA,3,Annabella
2017,FEMALE,ANNABELLE,12,Annabelle
2017,FEMALE,ANNABETH,2,Annabeth
2017,FEMALE,ANNAEL,1,Annael
2017,FEMALE,ANNAELLE,1,Annaelle
2017,FEMALE,ANNAIS,1,Annais
2017,FEMALE,ANNALEAH,1,Annaleah
2017,FEMALE,ANNALEE,3,Annalee
2017,FEMALE,ANNALISA,1,Annalisa
2017,FEMALE,ANNALISE,3,Annalise
2017,FEMALE,ANNALY,1,Annaly
2017,FEMALE,ANNALYN,1,Annalyn
2017,FEMALE,ANNALYNN,1,Annalynn
2017,FEMALE,ANNALYSIA,1,Annalysia
2017,FEMALE,ANNALYSSA,1,Annalyssa
2017,FEMALE,ANNASOPHIA,1,Annasophia
2017,FEMALE,ANNE,2,Anne
2017,FEMALE,ANNE ELIZABETH,1,Anne Elizabeth
2017,FEMALE,ANNELI,1,Anneli
2017,FEMALE,ANNELIES,1,Annelies
2017,FEMALE,ANNERIS,1,Anneris
2017,FEMALE,ANNEYVA,1,Anneyva
2017,FEMALE,ANNIE,9,Annie
2017,FEMALE,ANNIKA,3,Annika
2017,FEMALE,ANNISSA,1,Annissa
2017,FEMALE,ANNMARIE,3,Annmarie
2017,FEMALE,ANNYLA,1,Annyla
2017,FEMALE,ANNZLEE,1,Annzlee
2017,FEMALE,ANORA,1,Anora
2017,FEMALE,ANSLEE,1,Anslee
2017,FEMALE,ANSON,1,Anson
2017,FEMALE,ANTANIQUE,1,Antanique
2017,FEMALE,ANTONELLA,2,Antonella
2017,FEMALE,ANUSKA,1,Anuska
2017,FEMALE,ANVI,1,Anvi
2017,FEMALE,ANVIKA,2,Anvika
2017,FEMALE,ANYA,2,Anya
2017,FEMALE,ANYIA,1,Anyia
2017,FEMALE,AOIFE,1,Aoife
2017,FEMALE,AOLANIS,1,Aolanis
2017,FEMALE,APRIL,5,April
2017,FEMALE,ARABELLA,9,Arabella
2017,FEMALE,ARABELLE,2,Arabelle
2017,FEMALE,ARACELI,3,Araceli
